Date,Open,High,Low,Close,Volume
4/16/2015,49220,49270,48520,48600,466000
4/15/2015,49735,49860,49030,49185,460700
4/14/2015,49835,50080,49705,49805,377400
4/13/2015,50200,50350,49750,50150,468900
4/10/2015,49500,50650,49410,49700,1730300
4/9/2015,47715,48560,47685,48500,630800
4/8/2015,47380,47580,47095,47580,483600
4/7/2015,47410,47540,47020,47540,537700
4/6/2015,47395,47620,47235,47300,465200
4/3/2015,47280,47765,47200,47610,511000
4/2/2015,46865,47280,46505,47115,666400
4/1/2015,47180,47200,46410,46770,883600
3/31/2015,47500,47585,46495,46495,860000
3/30/2015,46455,47880,46430,47455,730600
3/27/2015,46610,47280,45720,46225,653300
3/26/2015,46800,47055,46210,46330,508200
3/25/2015,47125,47255,46525,46925,432400
3/24/2015,47145,47480,46865,46950,457000
3/23/2015,46900,47275,46620,47145,477000
3/20/2015,45670,46815,45670,46815,616800
3/19/2015,45585,45930,45410,45475,601700
3/18/2015,46295,46325,45760,46140,468200
3/17/2015,46810,46845,46175,46200,423600
3/16/2015,46190,46760,46160,46265,498500
3/13/2015,46165,46520,45910,46275,1911400
3/12/2015,45125,45680,44840,45515,582600
3/11/2015,44190,45395,44105,44920,603900
3/10/2015,45640,45720,44255,44420,685800
3/9/2015,45680,45885,45325,45340,511600
3/6/2015,46180,46720,46015,46115,525300
3/5/2015,46010,46285,45690,45690,345900
3/4/2015,45910,46415,45770,46165,363900
3/3/2015,47000,47035,46000,46040,477800
3/2/2015,46525,47065,46300,46850,495900
2/27/2015,46150,46665,46000,46330,558800
2/26/2015,45030,46050,44940,45990,582500
2/25/2015,45000,45195,44725,44905,504200
2/24/2015,44500,45300,44440,45300,728600
2/23/2015,43545,44455,43270,44355,800900
2/20/2015,43220,43345,42810,42910,444700
2/19/2015,43780,43970,43035,43065,563200
2/18/2015,43505,43740,43325,43705,520800
2/17/2015,43850,44040,43400,43505,333700
2/16/2015,44115,44295,44000,44065,296700
2/13/2015,43940,44250,43850,44005,682000
2/12/2015,44250,44340,43870,44305,505100
2/10/2015,43615,43690,43235,43435,456700
2/9/2015,44435,44445,43900,43935,362200
2/6/2015,44175,44270,43815,44005,354300
2/5/2015,43560,43920,43425,43475,477400
2/4/2015,43100,43890,42930,43850,636800
2/3/2015,43245,43350,42055,42185,517600
2/2/2015,43400,43740,43005,43055,430700
1/30/2015,44300,44400,43720,44020,577500
1/29/2015,43165,44220,43100,43675,648300
1/28/2015,42845,43865,42720,43600,582300
1/27/2015,42870,43380,42670,43160,471200
1/26/2015,41945,42580,41900,42340,384200
1/23/2015,42970,43095,42485,42645,356600
1/22/2015,42500,42530,41800,42270,529300
1/21/2015,42800,43090,42260,42385,566300
1/20/2015,41550,42700,41455,42700,509400
1/19/2015,41850,41900,41210,41530,577600
1/16/2015,41700,41995,40610,41370,1251300
1/15/2015,42270,42945,41970,42945,757100
1/14/2015,43080,43310,41860,41940,998300
1/13/2015,44060,44295,43250,43575,938300
1/9/2015,45800,46325,44350,44760,1602100
1/8/2015,43650,44550,43400,44405,611300
1/7/2015,43005,43510,43005,43425,727000
1/6/2015,43365,43745,43110,43255,844600
1/5/2015,43580,44420,43295,44065,545000
12/30/2014,44800,44975,44040,44040,584000
12/29/2014,45730,45865,44205,44885,621900
12/26/2014,45650,45700,45270,45330,348000
12/25/2014,45535,45700,45425,45615,375700
12/24/2014,45155,45880,44840,45830,737100
12/22/2014,44830,44900,44440,44525,418400
12/19/2014,44330,44730,44050,44730,937500
12/18/2014,42640,43715,42525,43715,945700
12/17/2014,41700,42080,41525,42070,898300
12/16/2014,41450,41990,41335,41830,975700
12/15/2014,41525,42765,41525,42295,750900
12/12/2014,42015,42965,42015,42800,1924700
12/11/2014,41705,41995,41010,41910,562600
12/10/2014,42905,43200,42150,42405,604200
12/9/2014,42825,43620,42805,43415,499700
12/8/2014,43245,43535,42930,43150,464800
12/5/2014,43250,43520,43120,43240,520200
12/4/2014,44165,44185,43500,43925,418800
12/3/2014,43300,44385,43300,43795,747800
12/2/2014,43000,43410,42950,43255,416300
12/1/2014,42715,43540,42715,43425,352600
11/28/2014,42850,43330,42730,43205,423200
11/27/2014,42260,42850,42260,42625,438700
11/26/2014,42240,42700,41940,42540,593500
11/25/2014,43175,43370,42480,42570,392300
11/21/2014,42480,43170,42110,43100,661900
11/20/2014,43470,43495,42690,42845,472700
11/19/2014,43500,43895,43000,43030,686000
11/18/2014,43025,43590,42855,43535,612500
11/17/2014,43800,43910,42215,42615,1059700
